hierarquia,topico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,porcentagem_encontrada_num,porcentagem_caderno_num,nivel_hierarquia
10.08.24.03,"Dos Direitos, Vantagens e Autorizações (arts. 67 a 149 da Lei nº 9.826/1974)",12,0.01%,12,0.01%,0.01,0.01,4
10.08.24.04,Do Regime Disciplinar (arts. 174 a 233 da Lei nº 9.826/1974),15,0.01%,15,0.01%,0.01,0.01,4
10.08.25,Lei nº 10.261/1968 - Estatuto dos Servidores de SP,1,0.00%,1,0.00%,0.0,0.0,3
10.08.25.01.01,Do Processo Administrativo (arts. 274 a 307 da Lei nº 10.261/1968),1,0.00%,1,0.00%,0.0,0.0,5
10.08.25.01,Do Procedimento Disciplinar (arts. 268 a 321 da Lei nº 10.261/1968),1,0.00%,1,0.00%,0.0,0.0,4
10.08.26,Lei Complementar nº 10.098/1994 - Estatuto dos Servidores do RS,9,0.01%,9,0.01%,0.01,0.01,3
10.08.26.01,Das Disposições Preliminares (ars. 1º a 9º da LC nº 10.098/1994),1,0.00%,1,0.00%,0.0,0.0,4
10.08.26.02,"Do Provimento, Promoção, Vacância, Remoção e Redistribuição (ars. 10 a 61 da LC nº 10.098/1994)",5,0.00%,5,0.00%,0.0,0.0,4
10.08.26.03,Dos Direitos e Vantagens (ars. 62 a 176 da LC nº 10.098/1994),3,0.00%,3,0.00%,0.0,0.0,4
10.08.26.03.01,Das Férias (arts. 67 a 77 da LC nº 10.098/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.26.03.02,Do Vencimento e da Remuneração (arts. 78 a 84 da LC nº 10.098/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.26.03.03,Das Vantagens (arts. 85 a 122 da LC nº 10.098/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.27,Lei nº 20.756/2020 - Estatuto dos Servidores de GO,4,0.00%,4,0.00%,0.0,0.0,3
10.08.27.01,Dos Cargos Públicos e das Funções de Confiança (arts. 5º a 87 da Lei nº 20.756/2020),3,0.00%,3,0.00%,0.0,0.0,4
10.08.27.01.01,Do Provimento (arts. 5º a 57 da Lei nº 20.756/2020),3,0.00%,3,0.00%,0.0,0.0,5
10.08.27.02.01,Das Responsabilidades (arts. 206 a 211 da Lei nº 20.756/2020),1,0.00%,1,0.00%,0.0,0.0,5
10.08.27.02,Do Regime Disciplinar (arts. 192 a 211 da Lei nº 20.756/2020),1,0.00%,1,0.00%,0.0,0.0,4
10.09,Estatutos dos Servidores Públicos Municipais,129,0.11%,129,0.11%,0.11,0.11,2
10.09.01,Disposições Gerais (Servidores Municipais),7,0.01%,7,0.01%,0.01,0.01,3
10.09.02,Formas de Provimento (Servidores Municipais),48,0.04%,48,0.04%,0.04,0.04,3
10.09.03,Vacância (Servidores Municipais),3,0.00%,3,0.00%,0.0,0.0,3
10.09.04,Estabilidade e Estágio Probatório (Servidores Municipais),2,0.00%,2,0.00%,0.0,0.0,3
10.09.05,Aposentadoria e Seguridade (Servidores Municipais),3,0.00%,3,0.00%,0.0,0.0,3
10.09.06,Direitos e Vantagens (Servidores Municipais),18,0.02%,18,0.02%,0.02,0.02,3
10.09.07,"Licenças, Afastamentos e Concessões (Servidores Municipais)",13,0.01%,13,0.01%,0.01,0.01,3
10.09.08,Regime Disciplinar (Servidores Municipais),18,0.02%,18,0.02%,0.02,0.02,3
10.09.09,Processo Disciplinar (Servidores Municipais),5,0.00%,5,0.00%,0.0,0.0,3
10.09.10,Tópicos Mesclados de Estatuto de Servidores Municipais,12,0.01%,12,0.01%,0.01,0.01,3
10.10,Decreto nº 7.203/2010 - Nepotismo,5,0.00%,5,0.00%,0.0,0.0,2
10.11,Lei nº 8.745/1993 - Contratação Temporária,3,0.00%,3,0.00%,0.0,0.0,2
10.12,Tópicos Mesclados de Agentes Públicos,86,0.07%,86,0.07%,0.07,0.07,2
11,"Coerência. Coesão (Anáfora, Catáfora, Uso dos Conectores - Pronomes Relativos, Conjunções, etc)",1783,1.53%,1783,1.53%,1.53,1.53,1
11,Processo de Direção,731,0.63%,731,0.63%,0.63,0.63,1
11,"Aplicativos para Videoconferência (Zoom, Meetings etc.)",10,0.01%,10,0.01%,0.01,0.01,1
11,Disposições Finais e Transitórias da CF/1988,34,0.03%,34,0.03%,0.03,0.03,1
11,Improbidade Administrativa,1145,0.98%,1145,0.98%,0.98,0.98,1
11.01,Introdução ao Processo de Direção (Conceito e Características),13,0.01%,13,0.01%,0.01,0.01,2
11.01,Lei nº 8.429/1992 - Sanções Aplicáveis em Virtude da PRática de Atos de Improbidade Administrativa,1145,0.98%,1145,0.98%,0.98,0.98,2
11.01,Ato das Disposições Constitucionais Transitórias - ADCT,19,0.02%,19,0.02%,0.02,0.02,2
11.01.01,Das Disposições Gerais (arts. 1º a 8º-A da Lei nº 8.429/1992),267,0.23%,267,0.23%,0.23,0.23,3
11.01.02,Dos Atos de Improbidade (arts. 9º a 11 da Lei nº 8.429/1992),405,0.35%,405,0.35%,0.35,0.35,3
11.01.03,Das Penas (art. 12 da Lei nº 8.429/1992),120,0.10%,120,0.10%,0.1,0.1,3
11.01.04,Da Declaração de Bens (art. 13 da Lei nº 8.429/1992),30,0.03%,30,0.03%,0.03,0.03,3
11.01.05,Do Procedimento Administrativo e do Processo Judicial (arts. 14 a 18-A da Lei nº 8.429/1992),137,0.12%,137,0.12%,0.12,0.12,3
11.01.06,Das Disposições Penais (arts. 19 a 22 da Lei nº 8.429/1992),56,0.05%,56,0.05%,0.05,0.05,3
11.01.07,Da Prescrição (arts. 23 a 23-C da Lei nº 8.429/1992),42,0.04%,42,0.04%,0.04,0.04,3
11.01.08,Tópicos Mesclados de Improbidade Administrativa (Lei nº 8.429/1992),88,0.08%,88,0.08%,0.08,0.08,3
11.02,Liderança,433,0.37%,433,0.37%,0.37,0.37,2
11.02,Emenda Constitucional nº 103/2019  (arts. 3º a 34) - Reforma da Previdência,15,0.01%,15,0.01%,0.01,0.01,2
11.03,Gestão de Conflitos,271,0.23%,271,0.23%,0.23,0.23,2
11.04,Inteligência Emocional,14,0.01%,14,0.01%,0.01,0.01,2
12,Outros Tópicos de Informática,39,0.03%,39,0.03%,0.03,0.03,1
12,"Tipos de Discurso (Direto, Indireto e Indireto Livre)",40,0.03%,40,0.03%,0.03,0.03,1
12,Processo Administrativo,920,0.79%,920,0.79%,0.79,0.79,1
12,Processo de Controle e Avaliação,202,0.17%,202,0.17%,0.17,0.17,1
12,Controle de Constitucionalidade,784,0.67%,784,0.67%,0.67,0.67,1
12.01,Processo Administrativo Federal (Lei 9.784/1999),879,0.76%,879,0.76%,0.76,0.76,2
12.01,"Introdução, Pressupostos e Tipos de Inconstitucionalidade",72,0.06%,72,0.06%,0.06,0.06,2
12.01.01,"Disposições Gerais, Direitos e Deveres do Administrado (arts. 1º a 4º da Lei nº 9.784/1999)",175,0.15%,175,0.15%,0.15,0.15,3
12.01.02,Trâmite do Processo (arts. 5º a 10 e 29 a 50 da Lei nº 9.784/1999),160,0.14%,160,0.14%,0.14,0.14,3
12.01.03,Da Competência (arts. 11 a 17 da Lei nº 9.784/1999),164,0.14%,164,0.14%,0.14,0.14,3
12.01.04,Dos Impedimentos e da Suspeição (arts. 18 a 21 da Lei nº 9.784/1999),44,0.04%,44,0.04%,0.04,0.04,3
12.01.05,"Forma, Tempo e Lugar dos Atos do Processo (arts. 22 a 25 da Lei nº 9.784/1999)",29,0.02%,29,0.02%,0.02,0.02,3
12.01.06,Da Comunicação dos Atos (arts. 26 a 28 da Lei nº 9.784/1999),25,0.02%,25,0.02%,0.02,0.02,3
12.01.07,Da Desistência e Outros Casos de Extinção do Processo (arts. 51 e 52 da Lei nº 9.784/1999),13,0.01%,13,0.01%,0.01,0.01,3
12.01.08,"Da Anulação, Revogação e Convalidação (arts. 53 a 55 da Lei nº 9.784/1999)",60,0.05%,60,0.05%,0.05,0.05,3
12.01.09,Do Recurso Administrativo e da Revisão (arts. 56 a 65 da Lei nº 9.784/1999),130,0.11%,130,0.11%,0.11,0.11,3
12.01.10,Dos Prazos e das Sanções (arts. 66 a 68 da Lei nº 9.784/1999),11,0.01%,11,0.01%,0.01,0.01,3
12.01.11,Das Disposições Finais (arts. 69 e 70 da Lei nº 9.784/1999),12,0.01%,12,0.01%,0.01,0.01,3
12.01.12,Tópicos Mesclados da Lei nº 9.784/1999,56,0.05%,56,0.05%,0.05,0.05,3
12.02,Controle de Constitucionalidade no Mundo e Histórico do Controle de Constitucionalidade no Brasil,27,0.02%,27,0.02%,0.02,0.02,2
12.02,Processo Administrativo Estadual,35,0.03%,35,0.03%,0.03,0.03,2
12.02.01,Lei Complementar Estadual nº 303/2005 - Processo Administrativo (RN),5,0.00%,5,0.00%,0.0,0.0,3
12.02.02,Lei Estadual nº 2.794/2003 - Processo Administrativo (AM),2,0.00%,2,0.00%,0.0,0.0,3
12.02.03,Lei Distrital nº 2.834/2001 - Processo Administrativo (DF),3,0.00%,3,0.00%,0.0,0.0,3
12.02.04,Lei Estadual nº 5.427/2009 - Processo Administrativo (RJ),5,0.00%,5,0.00%,0.0,0.0,3
12.02.05,Lei Estadual nº 7.692/2002 - Processo Administrativo (MT),1,0.00%,1,0.00%,0.0,0.0,3
12.02.06,Lei Estadual nº 8.972/2020 - Processo Administrativo (PA),3,0.00%,3,0.00%,0.0,0.0,3
12.02.07,Lei Estadual nº 11.781/2000 - Processo Administrativo (PE),10,0.01%,10,0.01%,0.01,0.01,3
12.02.08,Lei Estadual nº 12.209/2011 - Processo Administrativo (BA),5,0.00%,5,0.00%,0.0,0.0,3
12.02.09,Lei Estadual nº 20.656/2021 - Processo Administrativo (PR),1,0.00%,1,0.00%,0.0,0.0,3
12.02.09.01,Normas Gerais Aplicáveis aos Processos Administrativos (arts. 8º a 89 da Lei Estadual nº 20.656/2021),1,0.00%,1,0.00%,0.0,0.0,4
12.02.09.01.01,Da Competência (arts. 15 a 20 da Lei Estadual nº 20.656/2021),1,0.00%,1,0.00%,0.0,0.0,5
12.03,Formas de Controle de Constitucionalidade,535,0.46%,535,0.46%,0.46,0.46,2
12.03,Processo Administrativo Municipal (Leis Municipais),3,0.00%,3,0.00%,0.0,0.0,2
12.03.01,"Formas de Controle: Sistemas, Momentos, Modelos e Vias de Controle",81,0.07%,81,0.07%,0.07,0.07,3
12.03.02,Controle Difuso (Incidental ou Incidenter Tantum),87,0.07%,87,0.07%,0.07,0.07,3
12.03.03,Ações de Controle Concentrado de Constitucionalidade,367,0.32%,367,0.32%,0.32,0.32,3
12.03.03.01,Ação Direta de Inconstitucionalidade (ADI),210,0.18%,210,0.18%,0.18,0.18,4
12.03.03.02,Ação Direta de Inconstitucionalidade por Omissão (ADI por Omissão),30,0.03%,30,0.03%,0.03,0.03,4
12.03.03.03,Ação Declaratória de Constitucionalidade (ADC),56,0.05%,56,0.05%,0.05,0.05,4
12.03.03.04,Arguição de Descumprimento de Preceito Fundamental (ADPF),71,0.06%,71,0.06%,0.06,0.06,4
12.04,Decreto nº 8.539/2015 - Uso do Meio Eletrônico para a Realização do Processo Administrativo,3,0.00%,3,0.00%,0.0,0.0,2
12.04,Controle de Constitucionalidade pelos Tribunais de Justiça dos Estados,43,0.04%,43,0.04%,0.04,0.04,2
12.05,Questões Mescladas de Controle de Constitucionalidade,107,0.09%,107,0.09%,0.09,0.09,2
13,Comportamento Organizacional,1335,1.15%,1335,1.15%,1.15,1.15,1
13,Licitações e Contratos Administrativos - Lei nº 14.133/2021,5169,4.45%,5169,4.45%,4.45,4.45,1
13,Linguagem,365,0.31%,365,0.31%,0.31,0.31,1
13,Sem Classificação,183,0.16%,183,0.16%,0.16,0.16,1
13,Constituições Estaduais e LODF,699,0.60%,699,0.60%,0.6,0.6,1
13.01,"Do Âmbito de Aplicação, Definições e Agentes Públicos (arts. 1º a 4º, 6º a 10 da Lei nº 14.133/2021)",787,0.68%,787,0.68%,0.68,0.68,2
13.01,Introdução ao Comportamento Organizacional (Definição e Características),153,0.13%,153,0.13%,0.13,0.13,2
13.01,Constituição do Estado do Acre,25,0.02%,25,0.02%,0.02,0.02,2
13.01,"Variações da Linguagem: Não Verbal, Regional, Histórica, Contextual. Neologismos e Estrangeirismos",35,0.03%,35,0.03%,0.03,0.03,2
13.02,Princípios (art. 5º da Lei nº 14.133/2021),158,0.14%,158,0.14%,0.14,0.14,2
13.02,Clima Organizacional,89,0.08%,89,0.08%,0.08,0.08,2
13.02,Constituição do Estado do Alagoas,22,0.02%,22,0.02%,0.02,0.02,2
13.02,Linguagem Formal e Informal,112,0.10%,112,0.10%,0.1,0.1,2
13.02.01,Dos Princípios Fundamentais (arts. 1º a 3º da CE-AL),2,0.00%,2,0.00%,0.0,0.0,3
13.02.02,Da Organização do Estado (arts. 4º a 67 da CE-AL),9,0.01%,9,0.01%,0.01,0.01,3
13.02.03,Da Organização dos Poderes (arts. 68 a 161 da CE-AL),4,0.00%,4,0.00%,0.0,0.0,3
13.02.03.01,Do Poder Legislativo (arts. 68 a 100 da CE-AL),2,0.00%,2,0.00%,0.0,0.0,4
13.02.03.02,Do Poder Executivo (arts. 101 a 120 da CE-AL),1,0.00%,1,0.00%,0.0,0.0,4
13.02.03.03,Do Poder Judiciário (arts. 121 a 141 da CE-AL),1,0.00%,1,0.00%,0.0,0.0,4
13.02.04,Da Ordem Social (arts. 184 a 233 da CE-AL),2,0.00%,2,0.00%,0.0,0.0,3
13.02.05,Da Ordem Econômica (arts. 234 a 243 da CE-AL),1,0.00%,1,0.00%,0.0,0.0,3
13.02.06,Da Segurança Pública (arts. 244 a 247 da CE-AL),4,0.00%,4,0.00%,0.0,0.0,3
13.03,Constituição do Estado do Amapá,2,0.00%,2,0.00%,0.0,0.0,2
13.03,Cultura Organizacional,281,0.24%,281,0.24%,0.24,0.24,2
13.03,Licitações (arts. 11 a 88 da Lei nº 14.133/2021),2476,2.13%,2476,2.13%,2.13,2.13,2
13.03,Figuras de Linguagem,110,0.09%,110,0.09%,0.09,0.09,2
13.03.01,Da Organização dos Poderes (arts. 91 a 159 da CE-AP),2,0.00%,2,0.00%,0.0,0.0,3
13.03.01,"Objetivos, Fases e Formalidades (arts. 11 a 17 da Lei nº 14.133/2021)",107,0.09%,107,0.09%,0.09,0.09,3
13.03.02,Instrução do Processo Licitatório (arts. 18 a 27 da Lei nº 14.133/2021),118,0.10%,118,0.10%,0.1,0.1,3
13.03.03,Modalidades de Licitação (arts. 28 a 32 da Lei nº 14.133/2021),675,0.58%,675,0.58%,0.58,0.58,3
13.03.04,Critérios de Julgamento (arts. 33 a 39 da Lei nº 14.133/2021),109,0.09%,109,0.09%,0.09,0.09,3
13.03.05,"Disposições Setoriais, Compras, Serviços (arts. 40 a 52 da Lei nº 14.133/2021)",63,0.05%,63,0.05%,0.05,0.05,3
13.03.06,Divulgação do Edital de Licitação (arts. 53 a 54 da Lei nº 14.133/2021),17,0.01%,17,0.01%,0.01,0.01,3
13.03.07,"Fases da Licitação - Julgamento, Habilitação e Encerramento (arts. 55 a 71 da Lei nº 14.133/2021)",523,0.45%,523,0.45%,0.45,0.45,3
13.03.08,"Contratação Direta, Inexigibilidade e Dispensa (arts. 72 a 75 da Lei nº 14.133/2021)",729,0.63%,729,0.63%,0.63,0.63,3
13.03.09,Alienações (arts. 76 a 77 da Lei nº 14.133/2021),91,0.08%,91,0.08%,0.08,0.08,3
13.03.10,Instrumentos Auxiliares (arts. 78 a 88 da Lei nº 14.133/2021),44,0.04%,44,0.04%,0.04,0.04,3
13.04,Motivação,359,0.31%,359,0.31%,0.31,0.31,2
13.04,Contratos Administrativos (arts. 89 a 154 da Lei nº 14.133/2021),1309,1.13%,1309,1.13%,1.13,1.13,2
13.04,"Vícios de Linguagem (Pleonasmo, Ambiguidade, Cacofonia, etc.)",37,0.03%,37,0.03%,0.03,0.03,2
13.04,Constituição do Estado da Bahia,31,0.03%,31,0.03%,0.03,0.03,2
13.04.01,Da Organização do Estado e dos Municípios (arts. 5º a 65 da CE-BA),14,0.01%,14,0.01%,0.01,0.01,3
13.04.01,Conceitos e Características dos Contratos Administrativos. Formalização dos Contratos (arts. 89 a 95 da Lei nº 14.133/2021),336,0.29%,336,0.29%,0.29,0.29,3
13.04.02,Da Organização dos Poderes (arts. 66 a 148-A da CE-BA),14,0.01%,14,0.01%,0.01,0.01,3
13.04.02,Garantias (arts. 96 a 102 da Lei nº 14.133/2021),74,0.06%,74,0.06%,0.06,0.06,3
13.04.03,Da Tributação e do Orçamento (arts. 149 a 163 da CE-BA),1,0.00%,1,0.00%,0.0,0.0,3
13.04.03,Alocação de Riscos (art. 103 da Lei nº 14.133/2021),1,0.00%,1,0.00%,0.0,0.0,3
13.04.04,Prerrogativas da Administração (art. 104 da Lei nº 14.133/2021),39,0.03%,39,0.03%,0.03,0.03,3
13.04.04,Da Ordem Econômica e Social (arts. 164 a 291 da CE-BA),2,0.00%,2,0.00%,0.0,0.0,3
13.04.05,Duração dos Contratos (arts. 105 a 114 da Lei nº 14.133/2021),115,0.10%,115,0.10%,0.1,0.1,3
13.04.06,Execução dos Contratos (arts. 115 a art. 123 da Lei nº 14.133/2021),253,0.22%,253,0.22%,0.22,0.22,3
13.04.07,Alteração dos Contratos e dos Preços (art. 124 a 136 da Lei nº 14.133/2021),243,0.21%,243,0.21%,0.21,0.21,3
13.04.08,Hipóteses de Extinção dos Contratos (arts. 137 a 139 da Lei nº 14.133/2021),192,0.17%,192,0.17%,0.17,0.17,3
13.04.09,Recebimento do Objeto do Contrato (art. 140 da Lei nº 14.133/2021),26,0.02%,26,0.02%,0.02,0.02,3
13.04.10,Pagamentos (arts. 141 a 146 da Lei nº 14.133/2021),13,0.01%,13,0.01%,0.01,0.01,3
13.04.11,Nulidade dos Contratos (arts. 147 a 150 da Lei nº 14.133/2021),11,0.01%,11,0.01%,0.01,0.01,3
13.04.12,Meios Alternativos de Resolução de Controvérsias (arts. 151 a 154 da Lei nº 14.133/2021),6,0.01%,6,0.01%,0.01,0.01,3
13.05,Irregularidades (arts. 155 a 173 da Lei nº 14.133/2021),196,0.17%,196,0.17%,0.17,0.17,2
13.05,"Funções da Linguagem (Emotiva, Apelativa, Poética, Denotativa, etc)",71,0.06%,71,0.06%,0.06,0.06,2
13.05,Delegação e Empowerment,65,0.06%,65,0.06%,0.06,0.06,2
13.05,Constituição do Estado do Ceará,33,0.03%,33,0.03%,0.03,0.03,2
13.05.01,Infrações e Sanções Administrativas (arts. 155 a 163 da Lei nº 14.133/2021),112,0.10%,112,0.10%,0.1,0.1,3
13.05.02,"Impugnações, Pedidos de Esclarecimento e Recursos (arts. 164 a 168 da Lei nº 14.133/2021)",53,0.05%,53,0.05%,0.05,0.05,3
13.05.03,Controle das Contratações (arts. 169 a 173 da Lei nº 14.133/2021),31,0.03%,31,0.03%,0.03,0.03,3
13.06,Disposições Gerais (arts. 174 a 194 da Lei nº 14.133/2021),29,0.02%,29,0.02%,0.02,0.02,2
13.06,Grupos e Equipes de Trabalho,388,0.33%,388,0.33%,0.33,0.33,2
13.06,Constituição do Estado do Espírito Santo,58,0.05%,58,0.05%,0.05,0.05,2
13.06.01,Portal Nacional de Contratações Públicas - PNCP (arts. 174 a 176 da Lei nº 14.133/2021),4,0.00%,4,0.00%,0.0,0.0,3
13.06.02,Alterações Legislativas (arts. 177 a 180 da Lei nº 14.133/2021),2,0.00%,2,0.00%,0.0,0.0,3
13.06.03,Disposições Transitórias e Finais (arts. 181 a 194 da Lei nº 14.133/2021),23,0.02%,23,0.02%,0.02,0.02,3
13.07,Constituição do Estado de Goiás,4,0.00%,4,0.00%,0.0,0.0,2
13.07,Tópicos Mesclados da Lei nº 14.133/2021,214,0.18%,214,0.18%,0.18,0.18,2
13.08,Constituição do Estado do Maranhão,2,0.00%,2,0.00%,0.0,0.0,2
13.09,Constituição do Estado do Mato Grosso,3,0.00%,3,0.00%,0.0,0.0,2
13.10,Constituição do Estado do Mato Grosso do Sul,2,0.00%,2,0.00%,0.0,0.0,2
13.11,Constituição do Estado de Minas Gerais,1,0.00%,1,0.00%,0.0,0.0,2
13.11.01,Do Estado (arts. 6º a 143 da CEMG),1,0.00%,1,0.00%,0.0,0.0,3
13.11.01.01,Da Organização dos Poderes (arts. 52 a 143 da CEMG),1,0.00%,1,0.00%,0.0,0.0,4
13.11.01.01.01,Do Poder Legislativo (arts. 52 a 82 da CEMG),1,0.00%,1,0.00%,0.0,0.0,5
13.12,Constituição do Estado do Pará,19,0.02%,19,0.02%,0.02,0.02,2
13.12.01,Dos Direitos e Garantias Fundamentais (arts. 4º a 9º da CE-PA),4,0.00%,4,0.00%,0.0,0.0,3
13.12.02,Da Organização do Estado (arts. 10 a 50 da CE-PA),2,0.00%,2,0.00%,0.0,0.0,3
13.12.03,Da Organização Municipal (arts. 51 a 85 da CE-PA),1,0.00%,1,0.00%,0.0,0.0,3
13.12.04,Da Organização dos Poderes (arts. 86 a 192 da CE-PA),6,0.01%,6,0.01%,0.01,0.01,3
13.12.05,Da Ordem Financeira da Tributação e do Orçamento (arts. 202 a 229 da CE-PA),2,0.00%,2,0.00%,0.0,0.0,3
13.12.06,Da Ordem Econômica e do Meio Ambiente (arts. 230 a 259 da CE-PA),2,0.00%,2,0.00%,0.0,0.0,3
13.12.07,Atos das Disposições Constitucionais Transitórias da CE-PA,2,0.00%,2,0.00%,0.0,0.0,3
13.13,Constituição do Estado da Paraíba,14,0.01%,14,0.01%,0.01,0.01,2
13.14,Constituição do Estado do Paraná,3,0.00%,3,0.00%,0.0,0.0,2
13.15,Constituição do Estado de Pernambuco,21,0.02%,21,0.02%,0.02,0.02,2
13.16,Constituição do Estado do Piauí,3,0.00%,3,0.00%,0.0,0.0,2
13.17,Constituição do Estado do Rio de Janeiro,17,0.01%,17,0.01%,0.01,0.01,2
13.18,Constituição do Estado do Rio Grande do Norte,8,0.01%,8,0.01%,0.01,0.01,2
13.19,Constituição do Estado do Rio Grande do Sul,12,0.01%,12,0.01%,0.01,0.01,2
13.19.01,Da Organização do Estado (arts. 3º a 48 da CE-RS),1,0.00%,1,0.00%,0.0,0.0,3
13.19.01.01,Dos Municípios (arts. 8º a 15 da CE-RS),1,0.00%,1,0.00%,0.0,0.0,4
13.19.02,Da Organização dos Poderes (arts. 49 a 123 da CE-RS),5,0.00%,5,0.00%,0.0,0.0,3
13.19.02.01,Do Poder Legislativo (arts. 49 a 77 da CE-RS),3,0.00%,3,0.00%,0.0,0.0,4
13.19.02.02,Do Poder Judiciário (arts. 91 a 106 da CE-RS),2,0.00%,2,0.00%,0.0,0.0,4
13.19.03,"Das Finanças, da Tributação e do Orçamento (arts. 140 a 156 da CE-RS)",6,0.01%,6,0.01%,0.01,0.01,3
13.20,Constituição do Estado de Rondônia,15,0.01%,15,0.01%,0.01,0.01,2
13.21,Constituição do Estado de Roraima,17,0.01%,17,0.01%,0.01,0.01,2
13.22,Constituição do Estado de Santa Catarina,11,0.01%,11,0.01%,0.01,0.01,2
13.22.01,"Dos Princípios, Direitos e Garantias Fundamentais (arts. 1º a 4º da CE-SC)",1,0.00%,1,0.00%,0.0,0.0,3
13.22.02,Da Organização Político-Administrativa do Estado (arts. 5º a 31 da CE-SC),2,0.00%,2,0.00%,0.0,0.0,3
13.22.03,Da Organização dos Poderes (arts. 32 a 104 da CE-SC),5,0.00%,5,0.00%,0.0,0.0,3
13.22.04,Da Segurança Pública (arts. 105 a 109 da CE-SC),1,0.00%,1,0.00%,0.0,0.0,3
13.22.05,Da Ordem Social (arts. 151 a 192 da CE-SC),2,0.00%,2,0.00%,0.0,0.0,3
13.23,Constituição do Estado de Sergipe,9,0.01%,9,0.01%,0.01,0.01,2
13.24,Constituição do Estado do Tocantins,4,0.00%,4,0.00%,0.0,0.0,2
13.25,Lei Orgânica do Distrito Federal,363,0.31%,363,0.31%,0.31,0.31,2
13.25.01,Dos Fundamentos da Organização dos Poderes e do Distrito Federal (arts. 1º a 5º da LO-DF),26,0.02%,26,0.02%,0.02,0.02,3
13.25.02,Da Organização do Distrito Federal (arts. 6º a 52 da LO-DF),151,0.13%,151,0.13%,0.13,0.13,3
13.25.02.01,Das Disposições Gerais (arts. 6º a 9º da LO-DF),5,0.00%,5,0.00%,0.0,0.0,4
13.25.02.02,Da Organização Administrativa do Distrito Federal (arts. 10 a 13 da LO-DF),36,0.03%,36,0.03%,0.03,0.03,4
13.25.02.03,Da Competência do Distrito Federal (arts. 14 a 18 da LO-DF),24,0.02%,24,0.02%,0.02,0.02,4
13.25.02.04,Da Administração Pública (arts. 19 a 32 da LO-DF),46,0.04%,46,0.04%,0.04,0.04,4
13.25.02.05,Dos Servidores Públicos (arts. 33 a 44 da LO-DF),30,0.03%,30,0.03%,0.03,0.03,4
13.25.02.06,Dos Bens do Distrito Federal (arts. 46 a 52 da LO-DF),10,0.01%,10,0.01%,0.01,0.01,4
13.25.03,Da Organização dos Poderes (arts. 53 a 124-B da LO-DF),124,0.11%,124,0.11%,0.11,0.11,3
13.25.03.01,Das Disposições Gerais (art. 53 da LO-DF),2,0.00%,2,0.00%,0.0,0.0,4
13.25.03.02,Do Poder Legislativo (arts. 54 a 86 da LO-DF),87,0.07%,87,0.07%,0.07,0.07,4
13.25.03.03,Do Poder Executivo (arts. 87 a 109 da LO-DF),16,0.01%,16,0.01%,0.01,0.01,4
13.25.03.04,Das Funções Essenciais à Justiça (arts. 110 a 116 da LO-DF),8,0.01%,8,0.01%,0.01,0.01,4
13.25.03.05,Da Segurança Pública (arts. 117 a 124-B da LO-DF),11,0.01%,11,0.01%,0.01,0.01,4
13.25.04,Da Tributação e do Orçamento do Distrito Federal (arts. 125 a 157 da LO-DF),23,0.02%,23,0.02%,0.02,0.02,3
13.25.04.01,Do Sistema Tributário do Distrito Federal (arts. 125 a 142 da LO-DF),8,0.01%,8,0.01%,0.01,0.01,4
13.25.04.02,Das Finanças Públicas (arts. 143 a 146 da LO-DF),8,0.01%,8,0.01%,0.01,0.01,4
13.25.04.03,Do Orçamento (arts. 147 a 157 da LO-DF),7,0.01%,7,0.01%,0.01,0.01,4
13.25.05,Da Ordem Econômica do Distrito Federal (arts. 158 a 199 da LO-DF),10,0.01%,10,0.01%,0.01,0.01,3
13.25.06,Da Ordem Social e do Meio Ambiente (arts. 200 a 311 da LO-DF),22,0.02%,22,0.02%,0.02,0.02,3
13.25.07,Da Política Urbana e Rural (arts. 312 a 349 da LO-DF),6,0.01%,6,0.01%,0.01,0.01,3
13.25.08,Do Ato das Disposições Constitucionais Transitórias (LO-DF),1,0.00%,1,0.00%,0.0,0.0,3
14,Leis Orgânicas dos Municípios,128,0.11%,128,0.11%,0.11,0.11,1
14,Comunicação,363,0.31%,363,0.31%,0.31,0.31,1
14,"Partícula ""Se""",209,0.18%,209,0.18%,0.18,0.18,1
14,Pregão,95,0.08%,95,0.08%,0.08,0.08,1
14.01,Decreto nº 10.024/2019 - Pregão Eletrônico,80,0.07%,80,0.07%,0.07,0.07,2
14.01,Lei Orgânica do Município de Aracaju,4,0.00%,4,0.00%,0.0,0.0,2
14.01,Comunicação no Processo de Gestão,332,0.29%,332,0.29%,0.29,0.29,2
14.02,Decreto nº 3.555/2000 - Pregão,15,0.01%,15,0.01%,0.01,0.01,2
14.02,Lei Orgânica do Município de Belo Horizonte,2,0.00%,2,0.00%,0.0,0.0,2
14.02,Comunicação na Gestão Pública e Gestão de Redes Organizacionais,31,0.03%,31,0.03%,0.03,0.03,2
14.02.01,Disposições Preliminares (arts. 1º a 3º da LOM-BH),1,0.00%,1,0.00%,0.0,0.0,3
14.02.02,Da Organização dos Poderes (arts. 70 a 114 da LOM-BH),1,0.00%,1,0.00%,0.0,0.0,3
